Bad Rap,badRap,"exercises.html,listening.html,musical.html,party.html,warm_ups.html","Exercise,Listening,Musical,Party,Warm Up",warm_ups.html#badRap,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Ballad,ballad,"interview.html,musical.html,performance.html,song_formats.html","Interview,Musical,Performance,Song Format",musical.html#ballad,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Balladeer,balladeer,"long_forms.html,musical.html,narrative.html,performance.html","Long Form,Musical,narrative,performance",musical.html#balladeer,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Band,band,"exercises.html,group.html,musical.html,party.html,performance.html","Exercise,Group Game,Musical,Party,Performance",musical.html#band,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Bard's Ballad,bardsBallad,"group.html,musical.html,narrative.html,performance.html,scene.html","Group Game, Musical,Narrative,Performance,Scene",musical.html#bardsBallad,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Bat,bat,"long_forms.html,performance.html,scene.html","Long Form,Performance,Scene",long_forms.html#bat,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Beastie Boys,beastieBoys,"exercises.html,group.html,listening.html,musical.html,party.html,performance.html,warm_ups.html","Exercise,Group Game,Listening,Musical,Party,Performance/Warm Up",musical.html#beastieBoys,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Beastie Rap,beastieRap,"exercises.html,listening.html,musical.html,warm_ups.html","Exercise,Listening,Musical,Warm Up",musical.html#beastieRap,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Big Booty,bigBooty,"exercises.html,listening.html,party.html,warm_ups.html","Exercise,Listening,Part,Warm Up",warm_ups.html#bigBooty,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Blues,blues,"group.html,musical.html,performance.html,song_formats.html","Group Game,Musical,Performance,Song Format",musical.html#blues,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Bubsy Berkeley,bubsyBerkeley,"energy.html,exercises.html,group.html,musical.html,performance.html","Energy,Exercise,Group Game,Musical,Performance",musical.html#bubsyBerkeley,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Bunny Bunny,bunnyBunny,"child_friendly.html,energy.html,listening.html,party.html,warm_ups.html","Child Friendly,Energy,Listening,Party,Warm Up",warm_ups.html#bunnyBunny,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Chain Murder,chainMurder,"gibberis.html,guessing.html,object_work.html,performance.html","Gibberish,Guessing,Object Work,Performance",guessing.html#chainMurder,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Change AKA New Decision,change,"child_friendly.html,performance.html,scene.html,Torture.html","Child Friendly,Performance,Scenework,Torture",performance.html#change,"<p><strong>Description:</strong>\<ul><li>Two players start a scene and a third acts as a host. The host will ring a bell or say a phrase like change! or new decision! periodically after a line of dialogue has been said. The player who said that last line of dialoque will have to say a new line of dialogue to replace it.</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Player 1: What do you want?</li><li>Player 2: I want a muffin.</li><li>Host: Change!</li><li>Player 2: I want a whole cake to myself</li><li>Host: Change!</li><li>Player 2: I want you to love me again!</li></ul></p><hr><p><strong>Tips:</strong><ul><li>Try to heighten each time you are made to change a line of dialogue and go for a drastic change on the third changed line.</li>\<li>As the host, utilize the rule of three most of the time, only occasionally making the players change only one line of dialogue or making them change many lines in a long run of changes.</li></ul><hr></p>"
Character Panel,characterPanel,"character.html,child_friendly.html,exercises.html,performance.html","Character,Child Friendly,Exercise,Performance",character.html#characterPanel,"<p><strong>Description:</strong>\<ul><li>Two players start a scene and a third acts as a host. The host will ring a bell or say a phrase like change! or new decision! periodically after a line of dialogue has been said. The player who said that last line of dialoque will have to say a new line of dialogue to replace it.</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Player 1: What do you want?</li><li>Player 2: I want a muffin.</li><li>Host: Change!</li><li>Player 2: I want a whole cake to myself</li><li>Host: Change!</li><li>Player 2: I want you to love me again!</li></ul></p><hr><p><strong>Tips:</strong><ul><li>Try to heighten each time you are made to change a line of dialogue and go for a drastic change on the third changed line.</li>\<li>As the host, utilize the rule of three most of the time, only occasionally making the players change only one line of dialogue or making them change many lines in a long run of changes.</li></ul><hr></p>"
Character Matching,characterMatching,"character.html,exercises.html,warm_ups.html","Character,Exercise,Warm Up",character.html#characterMatching,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Don't Talk about the Thing,dontTalkAboutTheThing,"exercises.html,object_work.html,scene.html","Exercise,Object Work,Scenework",object_work.html#dontTalkAboutTheThing,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Mind Meld,mindMeld,"exercises.html,listening.html,party.html,warm_ups.html","Exercise,Listening,Party,Warm Up",warn_ups.html#mindMeld,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Pillars,pillars,"audience_participation.html,listening.html,performance.html,scene.html","Audience Participation,Listening,Performance,Scenework",audience_participation.html#pillars,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Sentence Game,sentenceGame,"justification.html,listening.html,performance.html,scene.html,sentence.html","Justification,Listening,Performance,Scenework,Sentence",sentence.html#sentenceGame,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
Taxi,taxi,"character.html,child_friendly.html,guessing.html,performance.html","Character,Child Friendly,Guessing,Performance",guessing.html#taxi,"<p><strong>Description:</strong>\<ul><li>Description...</li></ul></p><hr><p><strong>Example:</strong>\<ul><li>Example...</li></ul></p><hr><p><strong>Tips:</strong><ul><li>TipOne...</li>\<li>TipTwo...</li></ul><hr></p>"
